timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698851855363,243,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-1,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,243,0,178
1698851855607,518,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-1,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,76,0,0
1698851855430,753,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-10,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,251,0,186
1698851855430,251,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-10,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,251,0,186
1698851855682,501,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-10,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,70,0,0
1698851855743,516,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-8,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,65,0,0
1698851855743,65,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-8,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,65,0,0
1698851855808,451,https://www.talan-academy.com/candidate/profile-1,200,OK,Thread Group 1-8,text,true,,69202,548,10,10,https://www.talan-academy.com/#login,100,0,0
1698851850999,1288,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,140148,2400,10,10,null,337,3972,200
1698851856260,524,https://www.talan-academy.com/connexion,200,OK,Thread Group 1-8,text,true,,70184,1287,10,10,https://www.talan-academy.com/#login,228,0,167
1698851856260,228,https://www.talan-academy.com/connexion-0,302,Found,Thread Group 1-8,text,true,,853,690,10,10,https://www.talan-academy.com/connexion,228,0,167
1698851856489,295,https://www.talan-academy.com/connexion-1,200,OK,Thread Group 1-8,text,true,,69331,597,10,10,https://www.talan-academy.com/#login,67,0,0
1698851859091,462,https://www.talan-academy.com/candidate/profile,200,OK,Thread Group 1-4,text,true,,69964,1113,10,10,https://www.talan-academy.com/#login,59,0,0
1698851859091,59,https://www.talan-academy.com/candidate/profile-0,302,Found,Thread Group 1-4,text,true,,762,565,10,10,https://www.talan-academy.com/candidate/profile,59,0,0
